gid,Season Type,Neutral,Date,Team,Team Long,isHome,Away Team,Away Team Long,Home Team,Home Team Long,Away Score,Home Score,5on5 Flurry Xgoals,5on5 goals,5on4 Flurry Xgoals,5on4 goals,4on5 Flurry Xgoals,4on5 goals,opp_5on5 Flurry Xgoals,opp_5on5 goals,opp_5on4 Flurry Xgoals,opp_5on4 goals,opp_4on5 Flurry Xgoals,opp_4on5 goals,EV_home_goals,PP_home_goals,SH_home_goals,EV_away_goals,PP_away_goals,SH_away_goals
2024020074,2,False,2024-10-18,COL,Colorado Avalanche,True,ANA,Anaheim Ducks,COL,Colorado Avalanche,3,4,3.456,2.0,1.271,0.0,0.076,0.0,1.452,2.0,0.394,0.0,0.032,0.0,3,1,0,3,0,0
2024020075,2,False,2024-10-19,OTT,Ottawa Senators,True,TBL,Tampa Bay Lightning,OTT,Ottawa Senators,4,5,1.217,2.0,0.638,1.0,0.144,1.0,1.243,4.0,0.34800000000000003,0.0,0.053,0.0,2,2,1,4,0,0
2024020076,2,False,2024-10-19,NSH,Nashville Predators,True,DET,Detroit Red Wings,NSH,Nashville Predators,5,2,2.498,1.0,0.152,1.0,0.129,0.0,1.942,2.0,0.917,1.0,0.0,0.0,1,1,0,4,1,0
2024020077,2,False,2024-10-19,DAL,Dallas Stars,True,EDM,Edmonton Oilers,DAL,Dallas Stars,1,4,1.8439999999999999,2.0,0.087,1.0,0.0,0.0,2.5919999999999996,0.0,0.111,0.0,0.0,0.0,3,1,0,1,0,0
2024020078,2,False,2024-10-19,FLA,Florida Panthers,True,VGK,Vegas Golden Knights,FLA,Florida Panthers,3,4,2.6350000000000002,2.0,0.7809999999999999,1.0,0.0,0.0,2.454,3.0,0.028,0.0,0.0,0.0,3,1,0,3,0,0
2024020079,2,False,2024-10-19,TOR,Toronto Maple Leafs,True,NYR,New York Rangers,TOR,Toronto Maple Leafs,4,1,2.7199999999999998,1.0,0.685,0.0,0.0,0.0,2.33,1.0,0.044,0.0,0.07,0.0,1,0,0,4,0,0
2024020080,2,False,2024-10-19,NJD,New Jersey Devils,True,WSH,Washington Capitals,NJD,New Jersey Devils,6,5,2.262,4.0,0.602,1.0,0.0,0.0,2.269,5.0,0.044,0.0,0.044,0.0,4,1,0,6,0,0
2024020081,2,False,2024-10-19,NYI,New York Islanders,True,MTL,Montréal Canadiens,NYI,New York Islanders,3,4,1.9100000000000001,2.0,0.854,1.0,0.0,0.0,2.316,2.0,0.648,1.0,0.07999999999999999,0.0,2,1,0,2,1,0
2024020082,2,False,2024-10-19,PHI,Philadelphia Flyers,True,VAN,Vancouver Canucks,PHI,Philadelphia Flyers,3,0,2.012,0.0,0.617,0.0,0.268,0.0,1.548,3.0,0.007,0.0,0.077,0.0,0,0,0,3,0,0
2024020083,2,False,2024-10-19,CBJ,Columbus Blue Jackets,True,MIN,Minnesota Wild,CBJ,Columbus Blue Jackets,3,1,0.799,1.0,1.186,0.0,0.03,0.0,2.4939999999999998,2.0,0.09,0.0,0.029,0.0,1,0,0,2,1,0
2024020084,2,False,2024-10-19,STL,St. Louis Blues,True,CAR,Carolina Hurricanes,STL,St. Louis Blues,3,4,1.505,4.0,0.262,0.0,0.021,0.0,1.78,2.0,0.41600000000000004,1.0,0.026,0.0,4,0,0,2,1,0
2024020085,2,False,2024-10-19,CHI,Chicago Blackhawks,True,BUF,Buffalo Sabres,CHI,Chicago Blackhawks,4,2,2.144,2.0,0.19,0.0,0.213,0.0,0.8089999999999999,3.0,1.1380000000000001,0.0,0.0,0.0,2,0,0,4,0,0
2024020086,2,False,2024-10-19,UTA,Arizona Coyotes,True,BOS,Boston Bruins,UTA,Arizona Coyotes,1,2,1.296,1.0,0.78,0.0,0.047,0.0,1.5,1.0,0.133,0.0,0.022,0.0,2,0,0,1,0,0
2024020087,2,False,2024-10-19,SEA,Seattle Kraken,True,CGY,Calgary Flames,SEA,Seattle Kraken,1,2,1.453,0.0,0.5329999999999999,0.0,0.0,0.0,2.464,0.0,0.44,1.0,0.039,0.0,1,1,0,0,1,0
2024020088,2,False,2024-10-20,WPG,Winnipeg Jets,True,PIT,Pittsburgh Penguins,WPG,Winnipeg Jets,3,6,3.5700000000000003,3.0,0.0,0.0,0.0,0.0,3.599,2.0,0.633,1.0,0.0,0.0,6,0,0,2,1,0
2024020089,2,False,2024-10-20,SJS,San Jose Sharks,True,COL,Colorado Avalanche,SJS,San Jose Sharks,4,1,1.208,0.0,1.102,1.0,0.0,0.0,1.462,2.0,1.0,1.0,0.0,0.0,0,1,0,3,1,0
2024020090,2,False,2024-10-20,ANA,Anaheim Ducks,True,LAK,Los Angeles Kings,ANA,Anaheim Ducks,4,1,1.4180000000000001,1.0,0.21200000000000002,0.0,0.0,0.0,2.099,2.0,0.072,0.0,0.14200000000000002,0.0,1,0,0,4,0,0
2024020091,2,False,2024-10-21,TOR,Toronto Maple Leafs,True,TBL,Tampa Bay Lightning,TOR,Toronto Maple Leafs,2,5,2.044,4.0,1.273,1.0,0.0,0.0,2.282,1.0,0.654,1.0,0.253,0.0,4,1,0,1,1,0
2024020092,2,False,2024-10-22,PHI,Philadelphia Flyers,True,WSH,Washington Capitals,PHI,Philadelphia Flyers,4,1,1.0050000000000001,0.0,0.124,0.0,0.494,0.0,1.365,1.0,0.091,0.0,0.259,2.0,1,0,0,2,0,2
2024020093,2,False,2024-10-22,FLA,Florida Panthers,True,MIN,Minnesota Wild,FLA,Florida Panthers,5,1,2.001,1.0,,0.0,0.0,0.0,1.74,4.0,0.685,1.0,,0.0,1,0,0,4,1,0
2024020094,2,False,2024-10-22,NJD,New Jersey Devils,True,TBL,Tampa Bay Lightning,NJD,New Jersey Devils,8,5,2.346,3.0,0.875,2.0,0.0,0.0,2.606,5.0,1.61,2.0,0.007,1.0,3,2,0,5,2,1
2024020095,2,False,2024-10-22,BUF,Buffalo Sabres,True,DAL,Dallas Stars,BUF,Buffalo Sabres,2,4,1.9420000000000002,3.0,0.428,0.0,0.012,0.0,2.234,0.0,0.058,0.0,0.0,0.0,4,0,0,2,0,0
2024020096,2,False,2024-10-22,MTL,Montréal Canadiens,True,NYR,New York Rangers,MTL,Montréal Canadiens,7,2,1.69,1.0,0.313,1.0,0.0,0.0,3.951,6.0,1.219,1.0,0.5660000000000001,0.0,1,1,0,6,1,0
2024020097,2,False,2024-10-22,CBJ,Columbus Blue Jackets,True,TOR,Toronto Maple Leafs,CBJ,Columbus Blue Jackets,2,6,2.552,6.0,0.481,0.0,0.093,0.0,1.869,2.0,0.057,0.0,0.10800000000000001,0.0,6,0,0,2,0,0
